Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,iscLauncher.csproj,File,iscLauncher.csproj,,,System.Drawing.Common 8.0.10,,,,,"System.Drawing.Common, 8.0.10  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,iscLauncher.csproj,File,iscLauncher.csproj,,,,,,,,Current target framework: net8.0-windows10.0.19041.0 Recommended target framework: net10.0-windows10.0.22000.0
